sent_at_ms	latency_us	delay_since_due_us
1790219133970	65	65
1790219133971	73	73
1790219133972	65	65
1790219133973	68	68
1790219133974	64	64
1790219133975	60	60
1790219133976	60	60
1790219133977	63	63
1790219133978	62	62
1790219133979	62	62
1790219133980	56	56
1790219133981	59	59
1790219133982	55	55
1790219133983	57	57
1790219133984	60	60
1790219133985	104	104
1790219133986	105	105
1790219133987	79	79
1790219133988	102	102
1790219133989	83	83
1790219133990	83	83
1790219133991	366	366
1790219133992	130	492
1790219133993	77	78
1790219133994	71	72
1790219133995	66	66
1790219133996	77	77
1790219133997	102	102
1790219133998	147	147
1790219133999	123	123
1790219134000	103	111
1790219134001	84	84
1790219134002	70	70
1790219134003	75	75
1790219134004	67	67
1790219134005	64	64
1790219134006	57	57
1790219134007	63	63
1790219134008	64	64
1790219134009	63	63
1790219134010	88	88
1790219134011	61	61
1790219134012	68	68
1790219134013	62	62
1790219134014	146	146
1790219134015	76	76
1790219134016	96	96
1790219134017	64	64
1790219134018	61	61
1790219134019	66	66
1790219134020	65	65
1790219134021	60	60
1790219134022	75	75
1790219134023	58	58
1790219134024	62	62
1790219134025	69	69
1790219134026	85	85
1790219134027	67	67
1790219134028	66	66
1790219134029	57	57
1790219134030	66	66
1790219134031	91	91
1790219134032	81	81
1790219134033	58	58
1790219134034	70	70
1790219134035	89	89
1790219134036	129	129
1790219134037	76	76
1790219134038	71	71
1790219134039	65	65
1790219134040	66	66
1790219134041	65	65
1790219134042	60	60
1790219134043	70	70
1790219134044	70	70
1790219134045	56	56
1790219134046	72	72
1790219134047	59	59
1790219134048	61	61
1790219134049	61	61
1790219134050	59	59
1790219134051	59	59
1790219134052	56	56
1790219134053	57	57
1790219134054	56	56
1790219134055	62	62
1790219134056	59	59
1790219134057	59	59
1790219134058	55	55
1790219134059	58	58
1790219134060	58	58
1790219134061	55	55
1790219134062	66	66
1790219134063	66	66
1790219134064	61	61
1790219134065	70	70
1790219134066	61	61
1790219134067	61	61
1790219134068	59	59
1790219134069	63	63
1790219134070	73	73
1790219134071	58	58
1790219134072	57	57
1790219134073	54	54
1790219134074	57	57
1790219134075	58	58
1790219134076	66	66
1790219134077	58	58
1790219134078	59	59
1790219134079	60	60
1790219134080	59	59
1790219134081	58	58
1790219134082	61	61
1790219134083	58	58
1790219134084	60	60
1790219134085	62	62
1790219134086	63	63
1790219134087	61	61
1790219134088	61	61
1790219134089	57	57
1790219134090	55	55
1790219134091	63	63
1790219134092	61	61
1790219134093	61	61
1790219134094	61	61
1790219134095	61	61
1790219134096	56	56
1790219134097	59	59
1790219134098	54	54
1790219134099	59	59
1790219134100	64	64
1790219134101	58	58
1790219134102	55	55
1790219134103	56	56
1790219134104	56	56
1790219134105	59	59
1790219134106	59	59
1790219134107	59	59
1790219134108	56	56
1790219134109	60	60
1790219134110	61	61
1790219134111	62	62
1790219134112	58	58
1790219134113	56	56
1790219134114	55	55
1790219134115	125	125
1790219134116	56	56
1790219134117	58	58
1790219134118	62	62
1790219134119	59	59
1790219134120	56	56
1790219134121	58	58
1790219134122	57	57
1790219134123	57	57
1790219134124	64	64
1790219134125	61	61
1790219134126	71	71
1790219134127	72	72
1790219134128	57	57
1790219134129	61	61
1790219134130	63	63
1790219134131	63	63
1790219134132	60	60
1790219134133	59	59
1790219134134	62	62
1790219134135	60	60
1790219134136	59	59
1790219134137	59	59
1790219134138	58	58
1790219134139	65	65
1790219134140	56	56
1790219134141	59	59
1790219134142	65	65
1790219134143	60	60
1790219134144	62	62
1790219134145	58	58
1790219134146	58	58
1790219134147	59	59
1790219134148	61	61
1790219134149	61	61
1790219134150	60	60
1790219134151	55	55
1790219134152	53	53
1790219134153	59	59
1790219134154	54	54
1790219134155	63	63
1790219134156	54	54
1790219134157	57	57
1790219134158	60	60
1790219134159	62	62
1790219134160	60	60
1790219134161	62	62
1790219134162	57	57
1790219134163	98	98
1790219134164	105	105
1790219134165	82	82
1790219134166	84	84
1790219134167	67	67
1790219134168	59	59
1790219134169	72	72
1790219134170	62	62
1790219134171	60	60
1790219134172	70	70
1790219134173	67	67
1790219134174	72	73
1790219134175	59	59
1790219134176	56	56
1790219134177	53	53
1790219134178	55	55
1790219134179	55	55
1790219134180	55	55
1790219134181	109	109
1790219134182	62	62
1790219134183	57	57
1790219134184	55	55
1790219134185	99	99
1790219134186	79	79
1790219134187	68	68
1790219134188	61	61
1790219134189	61	61
1790219134190	58	58
1790219134191	52	52
1790219134192	61	61
1790219134193	58	58
1790219134194	60	60
1790219134195	82	82
1790219134196	87	87
1790219134197	62	62
1790219134198	58	58
1790219134199	54	54
1790219134200	72	72
1790219134201	52	52
1790219134202	54	54
1790219134203	53	53
1790219134204	54	54
1790219134205	56	56
1790219134206	59	59
1790219134207	54	54
1790219134208	55	55
1790219134209	57	57
1790219134210	54	54
1790219134211	59	59
1790219134212	58	58
1790219134213	52	52
1790219134214	56	56
1790219134215	52	52
1790219134216	151	151
1790219134217	54	54
1790219134218	61	61
1790219134219	63	63
1790219134220	58	58
1790219134221	52	52
1790219134222	52	52
1790219134223	62	62
1790219134224	53	53
1790219134225	53	53
1790219134226	54	54
1790219134227	58	58
1790219134228	59	59
1790219134229	55	55
1790219134230	52	52
1790219134231	52	52
1790219134232	54	54
1790219134233	54	54
1790219134234	57	57
1790219134235	62	62
1790219134236	54	54
1790219134237	65	65
1790219134238	58	59
1790219134239	55	55
1790219134240	57	57
1790219134241	56	56
1790219134242	87	87
1790219134243	65	65
1790219134244	60	60
1790219134245	60	60
1790219134246	55	55
1790219134247	81	81
1790219134248	65	65
1790219134249	54	54
1790219134250	64	69
1790219134251	64	64
1790219134252	54	54
1790219134253	55	55
1790219134254	56	56
1790219134255	57	57
1790219134256	52	52
1790219134257	53	53
1790219134258	55	55
1790219134259	60	60
1790219134260	62	62
1790219134261	58	58
1790219134262	52	52
1790219134263	56	56
1790219134264	59	59
1790219134265	57	57
1790219134266	53	53
1790219134267	54	54
1790219134268	52	52
1790219134269	52	52
1790219134270	54	54
1790219134271	53	53
1790219134272	61	61
1790219134273	54	54
1790219134274	57	57
1790219134275	54	54
1790219134276	55	55
1790219134277	53	53
1790219134278	51	52
1790219134279	54	54
1790219134280	55	55
1790219134281	56	56
1790219134282	52	52
1790219134283	58	58
1790219134284	55	55
1790219134285	53	53
1790219134286	62	62
1790219134287	59	59
1790219134288	62	62
1790219134289	56	56
1790219134290	52	52
1790219134291	70	70
1790219134292	72	72
1790219134293	69	69
1790219134294	67	67
1790219134295	62	62
1790219134296	60	60
1790219134297	57	57
1790219134298	53	53
1790219134299	53	53
1790219134300	54	56
1790219134301	51	51
1790219134302	50	50
1790219134303	54	54
1790219134304	58	58
1790219134305	55	55
1790219134306	51	51
1790219134307	58	58
1790219134308	65	65
1790219134309	52	52
1790219134310	54	54
1790219134311	54	54
1790219134312	53	53
1790219134313	59	59
1790219134314	53	53
1790219134315	54	54
1790219134316	52	52
1790219134317	119	119
1790219134318	55	55
1790219134319	52	52
1790219134320	57	57
1790219134321	52	52
1790219134322	52	52
1790219134323	53	53
1790219134324	57	57
1790219134325	51	51
1790219134326	52	52
1790219134327	51	51
1790219134328	53	53
1790219134329	53	53
1790219134330	55	55
1790219134331	56	56
1790219134332	53	53
1790219134333	51	51
1790219134334	54	54
1790219134335	52	52
1790219134336	52	52
1790219134337	53	53
1790219134338	53	53
1790219134339	53	53
1790219134340	52	52
1790219134341	57	57
1790219134342	75	75
1790219134343	54	54
1790219134344	63	63
1790219134345	56	56
1790219134346	54	54
1790219134347	57	57
1790219134348	57	57
1790219134349	51	51
1790219134350	53	53
1790219134351	53	53
1790219134352	54	54
1790219134353	51	51
1790219134354	54	54
1790219134355	59	59
1790219134356	56	56
1790219134357	52	52
1790219134358	53	53
1790219134359	56	56
1790219134360	52	52
1790219134361	51	51
1790219134362	53	53
1790219134363	51	51
1790219134364	54	54
1790219134365	94	94
1790219134366	76	76
1790219134367	59	59
1790219134368	58	58
1790219134369	52	52
1790219134370	52	52
1790219134371	50	50
1790219134372	61	61
1790219134373	54	54
1790219134374	52	52
1790219134375	54	54
1790219134376	53	53
1790219134377	54	54
1790219134378	57	57
1790219134379	56	56
1790219134380	56	56
1790219134381	50	50
1790219134382	54	54
1790219134383	48	48
1790219134384	53	53
1790219134385	51	51
1790219134386	52	52
1790219134387	63	63
1790219134388	55	55
1790219134389	50	50
1790219134390	55	55
1790219134391	54	54
1790219134392	55	55
1790219134393	52	52
1790219134394	54	54
1790219134395	53	53
1790219134396	55	55
1790219134397	52	52
1790219134398	55	55
1790219134399	50	50
1790219134400	58	67
1790219134401	50	50
1790219134402	51	51
1790219134403	58	62
1790219134404	52	52
1790219134405	52	52
1790219134406	53	53
1790219134407	52	52
