compression-none	producer-metrics:records-per-request-avg:: 402.414
compression-none	producer-metrics:request-rate:: 16.466
compression-lz4	200000 records sent, 180180.180180 records/sec (26.19 MB/sec), 252.65 ms avg latency, 329.00 ms max latency, 284 ms 50th, 325 ms 95th, 328 ms 99th, 329 ms 99.9th.
compression-lz4	producer-metrics:batch-size-avg:: 27239.625
compression-lz4	producer-metrics:compression-rate-avg:: 0.241
compression-lz4	producer-metrics:records-per-request-avg:: 694.444
compression-lz4	producer-metrics:request-rate:: 9.432
compression-zstd	200000 records sent, 334448.160535 records/sec (48.61 MB/sec), 4.57 ms avg latency, 190.00 ms max latency, 2 ms 50th, 25 ms 95th, 29 ms 99th, 33 ms 99.9th.
compression-zstd	producer-metrics:batch-size-avg:: 23192.161
compression-zstd	producer-metrics:compression-rate-avg:: 0.140
compression-zstd	producer-metrics:records-per-request-avg:: 1041.667
compression-zstd	producer-metrics:request-rate:: 6.429
disk.none	32482280
disk.lz4	7845012
disk.zstd	4452895
acks-latency-0	99943 records sent, 19988.6 records/sec (4.88 MB/sec), 2.4 ms avg latency, 178.0 ms max latency.
acks-latency-0	200000 records sent, 20000.000000 records/sec (4.88 MB/sec), 2.08 ms avg latency, 178.00 ms max latency, 2 ms 50th, 5 ms 95th, 12 ms 99th, 31 ms 99.9th.
acks-latency-0	producer-metrics:batch-size-avg:: 16214.612
acks-latency-0	producer-metrics:compression-rate-avg:: 1.000
acks-latency-0	producer-metrics:records-per-request-avg:: 60.957
acks-latency-0	producer-metrics:request-rate:: 82.374
acks-max-0	200000 records sent, 187265.917603 records/sec (45.72 MB/sec), 221.50 ms avg latency, 359.00 ms max latency, 225 ms 50th, 354 ms 95th, 357 ms 99th, 359 ms 99.9th.
acks-max-0	producer-metrics:batch-size-avg:: 16224.464
acks-max-0	producer-metrics:compression-rate-avg:: 1.000
acks-max-0	producer-metrics:records-per-request-avg:: 60.994
acks-max-0	producer-metrics:request-rate:: 106.071
acks-latency-1	99987 records sent, 19985.4 records/sec (4.88 MB/sec), 3.7 ms avg latency, 173.0 ms max latency.
acks-latency-1	200000 records sent, 20000.000000 records/sec (4.88 MB/sec), 3.38 ms avg latency, 173.00 ms max latency, 3 ms 50th, 11 ms 95th, 33 ms 99th, 43 ms 99.9th.
acks-latency-1	producer-metrics:batch-size-avg:: 16199.855
acks-latency-1	producer-metrics:compression-rate-avg:: 1.000
acks-latency-1	producer-metrics:records-per-request-avg:: 60.901
acks-latency-1	producer-metrics:request-rate:: 82.429
acks-max-1	200000 records sent, 172860.847018 records/sec (42.20 MB/sec), 162.46 ms avg latency, 319.00 ms max latency, 149 ms 50th, 307 ms 95th, 316 ms 99th, 318 ms 99.9th.
acks-max-1	producer-metrics:batch-size-avg:: 16224.464
acks-max-1	producer-metrics:compression-rate-avg:: 1.000
acks-max-1	producer-metrics:records-per-request-avg:: 60.994
acks-max-1	producer-metrics:request-rate:: 105.743
acks-latency-all	99659 records sent, 19820.8 records/sec (4.84 MB/sec), 19.6 ms avg latency, 309.0 ms max latency.
acks-latency-all	200000 records sent, 19996.000800 records/sec (4.88 MB/sec), 12.38 ms avg latency, 309.00 ms max latency, 3 ms 50th, 63 ms 95th, 183 ms 99th, 204 ms 99.9th.
acks-latency-all	producer-metrics:batch-size-avg:: 16199.855
acks-latency-all	producer-metrics:compression-rate-avg:: 1.000
acks-latency-all	producer-metrics:records-per-request-avg:: 60.901
acks-latency-all	producer-metrics:request-rate:: 82.531
acks-max-all	200000 records sent, 78247.261346 records/sec (19.10 MB/sec), 634.59 ms avg latency, 1511.00 ms max latency, 528 ms 50th, 1464 ms 95th, 1507 ms 99th, 1510 ms 99.9th.
acks-max-all	producer-metrics:batch-size-avg:: 16224.464
acks-max-all	producer-metrics:compression-rate-avg:: 1.000
acks-max-all	producer-metrics:records-per-request-avg:: 60.994
acks-max-all	producer-metrics:request-rate:: 101.236
