1201	2026-09-23 18:16:55.649588
1202	2026-09-23 18:16:55.672199
1203	2026-09-23 18:16:55.693791
1204	2026-09-23 18:16:55.715665
1205	2026-09-23 18:16:55.737641
1206	2026-09-23 18:16:55.762336
1207	2026-09-23 18:16:55.784288
1208	2026-09-23 18:16:55.808008
1209	2026-09-23 18:16:55.830752
1210	2026-09-23 18:16:55.852977
1211	2026-09-23 18:16:55.874427
1212	2026-09-23 18:16:55.896204
1213	2026-09-23 18:16:55.918160
1214	2026-09-23 18:16:55.939765
1215	2026-09-23 18:16:55.961216
1216	2026-09-23 18:16:55.983166
1217	2026-09-23 18:16:56.005395
1218	2026-09-23 18:16:56.026827
1219	2026-09-23 18:16:56.048736
1220	2026-09-23 18:16:56.070794
1221	2026-09-23 18:16:56.098931
1222	2026-09-23 18:16:56.120950
1223	2026-09-23 18:16:56.142404
1224	2026-09-23 18:16:56.164071
1225	2026-09-23 18:16:56.185525
1226	2026-09-23 18:16:56.207258
1227	2026-09-23 18:16:56.228741
1228	2026-09-23 18:16:56.250950
1229	2026-09-23 18:16:56.272690
1230	2026-09-23 18:16:56.294367
1231	2026-09-23 18:16:56.316462
1232	2026-09-23 18:16:56.338180
1233	2026-09-23 18:16:56.359649
1234	2026-09-23 18:16:56.381394
1235	2026-09-23 18:16:56.404549
1236	2026-09-23 18:16:56.426479
1237	2026-09-23 18:16:56.448841
1238	2026-09-23 18:16:56.472539
1239	2026-09-23 18:16:56.495137
1240	2026-09-23 18:16:56.518367
1241	2026-09-23 18:16:56.541286
1242	2026-09-23 18:16:56.563869
1243	2026-09-23 18:16:56.589270
1244	2026-09-23 18:16:56.616670
1245	2026-09-23 18:16:56.647197
1246	2026-09-23 18:16:56.672342
1247	2026-09-23 18:16:56.699451
1248	2026-09-23 18:16:56.731729
1249	2026-09-23 18:16:56.764402
1250	2026-09-23 18:16:56.794088
