replica	utc	mono_ms	source_acked_seq	replica_seq	seq_gap	seconds_behind_source	io_service_state	sql_running	received_not_applied	applying_trx_age_ms
replica2	2026-09-23T18:11:58.759063718Z	7776	575	572	3	0	ON	Yes	0	0
replica1	2026-09-23T18:11:58.759362843Z	7777	575	575	0	0	ON	Yes	0	0
replica2	2026-09-23T18:11:59.015593594Z	8033	580	572	8	0	ON	Yes	0	0
replica1	2026-09-23T18:11:59.015830510Z	8033	580	580	0	1	ON	Yes	0	0
replica1	2026-09-23T18:11:59.274229802Z	8292	585	585	0	0	ON	Yes	0	0
replica2	2026-09-23T18:11:59.274366594Z	8292	585	572	13	0	ON	Yes	0	0
replica2	2026-09-23T18:11:59.529944719Z	8547	590	572	18	0	ON	Yes	0	0
replica1	2026-09-23T18:11:59.530567136Z	8548	590	590	0	0	ON	Yes	0	0
replica2	2026-09-23T18:11:59.788569511Z	8806	595	572	23	0	ON	Yes	0	0
replica1	2026-09-23T18:11:59.789877219Z	8807	595	595	0	0	ON	Yes	0	0
replica1	2026-09-23T18:12:00.045397302Z	9063	600	600	0	1	ON	Yes	0	0
replica2	2026-09-23T18:12:00.045444219Z	9063	600	572	28	0	ON	Yes	0	0
replica2	2026-09-23T18:12:00.299021553Z	9316	605	572	33	0	ON	Yes	0	0
replica1	2026-09-23T18:12:00.299072261Z	9316	605	605	0	0	ON	Yes	0	0
replica1	2026-09-23T18:12:00.552271928Z	9570	609	609	0	0	ON	Yes	0	0
replica2	2026-09-23T18:12:00.552271928Z	9570	609	572	37	0	ON	Yes	0	0
replica1	2026-09-23T18:12:00.807938094Z	9825	614	614	0	0	ON	Yes	0	0
replica2	2026-09-23T18:12:00.807979553Z	9825	614	572	42	0	ON	Yes	0	0
replica2	2026-09-23T18:12:01.064828053Z	10082	619	572	47	0	ON	Yes	0	0
replica1	2026-09-23T18:12:01.064877511Z	10082	619	619	0	1	ON	Yes	0	0
replica2	2026-09-23T18:12:01.321471136Z	10339	624	572	52	0	ON	Yes	0	0
replica1	2026-09-23T18:12:01.322150011Z	10339	624	624	0	0	ON	Yes	0	0
replica1	2026-09-23T18:12:01.578183303Z	10596	629	629	0	0	ON	Yes	0	0
replica2	2026-09-23T18:12:01.578266511Z	10596	629	572	57	0	ON	Yes	0	0
replica2	2026-09-23T18:12:01.837995678Z	10855	634	572	62	0	ON	Yes	0	0
replica1	2026-09-23T18:12:01.838726595Z	10856	634	634	0	0	ON	Yes	0	0
replica2	2026-09-23T18:12:02.094238845Z	11112	639	572	67	0	ON	Yes	0	0
replica1	2026-09-23T18:12:02.094565678Z	11112	639	639	0	0	ON	Yes	0	0
replica1	2026-09-23T18:12:02.347565137Z	11365	644	644	0	0	ON	Yes	0	0
replica2	2026-09-23T18:12:02.347550929Z	11365	644	572	72	0	ON	Yes	0	0
replica1	2026-09-23T18:12:02.601497220Z	11619	648	648	0	0	ON	Yes	0	0
replica2	2026-09-23T18:12:02.601507137Z	11619	648	572	76	0	ON	Yes	0	0
replica1	2026-09-23T18:12:02.859730262Z	11877	653	653	0	0	ON	Yes	0	0
replica2	2026-09-23T18:12:02.859837137Z	11877	653	572	81	0	ON	Yes	0	0
replica1	2026-09-23T18:12:03.116512179Z	12134	658	658	0	0	ON	Yes	0	0
replica2	2026-09-23T18:12:03.117251554Z	12135	658	572	86	0	ON	Yes	0	0
replica2	2026-09-23T18:12:03.372977679Z	12390	663	572	91	0	ON	Yes	0	0
replica1	2026-09-23T18:12:03.373046221Z	12390	663	663	0	0	ON	Yes	0	0
replica1	2026-09-23T18:12:03.628829804Z	12646	668	668	0	0	ON	Yes	0	0
replica2	2026-09-23T18:12:03.628829929Z	12646	668	572	96	0	ON	Yes	0	0
replica1	2026-09-23T18:12:03.886457054Z	12904	673	673	0	0	ON	Yes	0	0
replica2	2026-09-23T18:12:03.886456971Z	12904	673	572	101	0	ON	Yes	0	0
replica1	2026-09-23T18:12:04.147234971Z	13165	677	677	0	1	ON	Yes	1	3
replica2	2026-09-23T18:12:04.148221388Z	13166	677	572	105	0	ON	Yes	0	0
replica1	2026-09-23T18:12:04.401212096Z	13419	682	682	0	0	ON	Yes	0	0
replica2	2026-09-23T18:12:04.401261221Z	13419	682	572	110	0	ON	Yes	0	0
replica1	2026-09-23T18:12:04.653946221Z	13671	687	687	0	0	ON	Yes	0	0
replica2	2026-09-23T18:12:04.653946180Z	13671	687	572	115	0	ON	Yes	0	0
replica2	2026-09-23T18:12:04.909243138Z	13927	692	572	120	0	ON	Yes	0	0
replica1	2026-09-23T18:12:04.909295721Z	13927	692	692	0	0	ON	Yes	0	0
replica2	2026-09-23T18:12:05.165387638Z	14183	697	572	125	0	ON	Yes	0	0
replica1	2026-09-23T18:12:05.165529013Z	14183	697	697	0	1	ON	Yes	0	0
replica1	2026-09-23T18:12:05.421811305Z	14439	702	702	0	0	ON	Yes	0	0
replica2	2026-09-23T18:12:05.421962930Z	14439	702	572	130	0	ON	Yes	0	0
replica1	2026-09-23T18:12:05.677761180Z	14695	707	707	0	0	ON	Yes	0	0
replica2	2026-09-23T18:12:05.677798263Z	14695	707	572	135	0	ON	Yes	0	0
replica1	2026-09-23T18:12:05.934575764Z	14952	712	712	0	0	ON	Yes	0	0
replica2	2026-09-23T18:12:05.934575805Z	14952	712	572	140	0	ON	Yes	0	0
replica2	2026-09-23T18:12:06.191206639Z	15209	716	572	144	0	ON	Yes	0	0
replica1	2026-09-23T18:12:06.191161097Z	15209	716	716	0	1	ON	Yes	0	0
replica2	2026-09-23T18:12:06.444350833Z	15462	721	572	149	0	ON	Yes	0	0
replica1	2026-09-23T18:12:06.444468333Z	15462	721	721	0	0	ON	Yes	0	0
replica2	2026-09-23T18:12:06.697143958Z	15715	726	572	154	0	ON	Yes	0	0
replica1	2026-09-23T18:12:06.697163750Z	15715	726	726	0	0	ON	Yes	0	0
replica1	2026-09-23T18:12:06.952753375Z	15970	731	731	0	0	ON	Yes	0	0
replica2	2026-09-23T18:12:06.952753416Z	15970	731	572	159	0	ON	Yes	0	0
replica1	2026-09-23T18:12:07.209626333Z	16227	736	736	0	0	ON	Yes	0	0
replica2	2026-09-23T18:12:07.209582792Z	16227	736	572	164	0	ON	Yes	0	0
replica1	2026-09-23T18:12:07.464701583Z	16482	741	741	0	0	ON	Yes	0	0
replica2	2026-09-23T18:12:07.464798292Z	16482	741	572	169	0	ON	Yes	0	0
replica1	2026-09-23T18:12:07.719759958Z	16737	746	746	0	0	ON	Yes	0	0
replica2	2026-09-23T18:12:07.719666792Z	16737	746	572	174	0	ON	Yes	0	0
replica1	2026-09-23T18:12:07.976716792Z	16994	751	751	0	0	ON	Yes	0	0
replica2	2026-09-23T18:12:07.976821292Z	16994	751	572	179	0	ON	Yes	0	0
replica2	2026-09-23T18:12:08.236653542Z	17254	755	572	183	0	ON	Yes	0	0
replica1	2026-09-23T18:12:08.236932459Z	17254	755	756	-1	0	ON	Yes	0	0
replica2	2026-09-23T18:12:08.491403959Z	17509	760	572	188	0	ON	Yes	0	0
replica1	2026-09-23T18:12:08.491653167Z	17509	760	760	0	0	ON	Yes	0	0
replica1	2026-09-23T18:12:08.744007667Z	17761	765	765	0	0	ON	Yes	0	0
replica2	2026-09-23T18:12:08.744024626Z	17761	765	572	193	0	ON	Yes	0	0
replica2	2026-09-23T18:12:09.000232792Z	18018	770	572	198	0	ON	Yes	0	0
replica1	2026-09-23T18:12:09.000340334Z	18018	770	770	0	0	ON	Yes	0	0
replica2	2026-09-23T18:12:09.256294001Z	18274	775	572	203	0	ON	Yes	0	0
replica1	2026-09-23T18:12:09.256721668Z	18274	775	775	0	0	ON	Yes	0	0
