replica	utc	mono_ms	source_acked_seq	replica_seq	seq_gap	seconds_behind_source	io_service_state	sql_running	received_not_applied	applying_trx_age_ms
replica1	2026-09-23T18:10:07.922008417Z	8761	399	399	0	0	ON	Yes	0	0
replica1	2026-09-23T18:10:08.175208209Z	9014	404	404	0	0	ON	Yes	0	0
replica2	2026-09-23T18:10:08.175223542Z	9014	404	404	0	0	ON	Yes	0	0
replica1	2026-09-23T18:10:08.429386292Z	9268	408	409	-1	0	ON	Yes	0	0
replica2	2026-09-23T18:10:08.429397417Z	9268	408	409	-1	0	ON	Yes	0	0
replica1	2026-09-23T18:10:08.682269334Z	9521	413	413	0	0	ON	Yes	0	0
replica2	2026-09-23T18:10:08.682260584Z	9521	413	413	0	0	ON	Yes	0	0
replica1	2026-09-23T18:10:08.936250126Z	9775	418	418	0	0	ON	Yes	0	0
replica2	2026-09-23T18:10:08.936373917Z	9775	418	418	0	0	ON	Yes	0	0
replica1	2026-09-23T18:10:09.190814376Z	10029	423	423	0	0	ON	Yes	0	0
replica2	2026-09-23T18:10:09.190841542Z	10029	423	423	0	0	ON	Yes	0	0
