replica	utc	mono_ms	source_acked_seq	replica_seq	seq_gap	seconds_behind_source	io_service_state	sql_running	received_not_applied	applying_trx_age_ms
replica1	2026-09-23T18:09:53.962797050Z	7819	148	148	0	0	ON	Yes	0	0
replica2	2026-09-23T18:09:53.962774133Z	7819	148	148	0	0	ON	Yes	0	0
replica2	2026-09-23T18:09:54.217404675Z	8074	153	153	0	1	ON	Yes	0	0
replica1	2026-09-23T18:09:54.217474550Z	8074	153	153	0	1	ON	Yes	0	0
replica2	2026-09-23T18:09:54.470088216Z	8327	158	158	0	0	ON	Yes	0	0
replica1	2026-09-23T18:09:54.470076425Z	8327	158	158	0	0	ON	Yes	0	0
replica1	2026-09-23T18:09:54.723534342Z	8580	162	162	0	0	ON	Yes	0	0
replica2	2026-09-23T18:09:54.723635842Z	8580	162	162	0	0	ON	Yes	0	0
replica2	2026-09-23T18:09:54.977356967Z	8834	167	167	0	0	ON	Yes	0	0
replica1	2026-09-23T18:09:54.977774092Z	8834	167	167	0	0	ON	Yes	0	0
replica2	2026-09-23T18:09:55.235037550Z	9092	172	172	0	0	ON	Yes	0	0
replica1	2026-09-23T18:09:55.235084967Z	9092	172	172	0	0	ON	Yes	0	0
replica1	2026-09-23T18:09:55.492120217Z	9349	177	177	0	0	ON	Yes	0	0
replica2	2026-09-23T18:09:55.492120175Z	9349	177	177	0	0	ON	Yes	0	0
replica2	2026-09-23T18:09:55.749916884Z	9607	182	182	0	0	ON	Yes	0	0
replica1	2026-09-23T18:09:55.750614717Z	9607	182	182	0	0	ON	Yes	0	0
replica1	2026-09-23T18:09:56.006719384Z	9863	187	187	0	1	ON	Yes	0	0
replica2	2026-09-23T18:09:56.006759676Z	9863	187	187	0	1	ON	Yes	0	0
replica2	2026-09-23T18:09:56.263378051Z	10120	192	192	0	0	ON	Yes	0	0
replica1	2026-09-23T18:09:56.264352592Z	10121	192	192	0	0	ON	Yes	0	0
replica2	2026-09-23T18:09:56.516874426Z	10374	197	197	0	0	ON	Yes	0	0
replica1	2026-09-23T18:09:56.517712676Z	10374	197	197	0	0	ON	Yes	0	0
replica2	2026-09-23T18:09:56.772776426Z	10629	201	201	0	0	ON	Yes	1	0
replica1	2026-09-23T18:09:56.772716009Z	10629	201	201	0	0	ON	Yes	1	3
replica2	2026-09-23T18:09:57.030404218Z	10887	206	206	0	1	ON	Yes	0	0
replica1	2026-09-23T18:09:57.030354301Z	10887	206	206	0	1	ON	Yes	0	0
replica1	2026-09-23T18:09:57.287873218Z	11145	211	211	0	0	ON	Yes	0	0
replica2	2026-09-23T18:09:57.287922968Z	11145	211	211	0	0	ON	Yes	0	0
replica2	2026-09-23T18:09:57.544366551Z	11401	216	216	0	0	ON	Yes	0	0
replica1	2026-09-23T18:09:57.544327426Z	11401	216	216	0	0	ON	Yes	0	0
replica1	2026-09-23T18:09:57.799120801Z	11656	221	221	0	0	ON	Yes	0	0
replica2	2026-09-23T18:09:57.799349676Z	11656	221	221	0	0	ON	Yes	0	0
replica1	2026-09-23T18:09:58.058411218Z	11915	226	226	0	0	ON	Yes	0	0
replica2	2026-09-23T18:09:58.058492343Z	11915	226	226	0	0	ON	Yes	0	0
replica1	2026-09-23T18:09:58.314603260Z	12171	231	231	0	0	ON	Yes	0	0
replica2	2026-09-23T18:09:58.314797927Z	12171	231	231	0	0	ON	Yes	0	0
