t0	fault_injected	1790218664670
t1	last_client_ack_on_old_primary	1790218664772
t2	sdown	1790218667828
t3	odown	1790218667904
t4	switch_master	1790218670050	r3
t5	first_write_on_new_primary	1790218669850
t6	verification	acked=4627 lost_acked=0 unconfirmed=0 errors=16 present_but_not_acked=0
