r2 r2-1  | 2026-09-24T02:59:59.793633668Z 1:M 24 Sep 2026 02:59:59.793 * Connection with replica (rdbchannel) r1-data:6379 lost.
r3 r3-1  | 2026-09-24T02:59:25.541861513Z 1:S 24 Sep 2026 02:59:25.541 * <search> gc: ON, prefix min length: 2, min word length to stem: 4, prefix max expansions: 200, query timeout (ms): 500, timeout policy: return, oom policy: return, cursor read size: 1000, cursor max idle (ms): 300000, max doctable size: 1000000, max number of search results:  1000000, default scorer: BM25STD, 
r3 r3-1  | 2026-09-24T02:59:25.542113680Z 1:S 24 Sep 2026 02:59:25.542 * <search> Cluster configuration: AUTO partitions, type: 0, coordinator timeout: 0ms
r3 r3-1  | 2026-09-24T02:59:26.561134764Z 1:S 24 Sep 2026 02:59:26.561 * MASTER <-> REPLICA sync started
r3 r3-1  | 2026-09-24T02:59:26.561284055Z 1:S 24 Sep 2026 02:59:26.561 * Partial resynchronization not possible (no cached master)
r3 r3-1  | 2026-09-24T02:59:26.561444055Z 1:S 24 Sep 2026 02:59:26.561 * PSYNC is not possible, initialize RDB channel.
r3 r3-1  | 2026-09-24T02:59:26.562816722Z 1:S 24 Sep 2026 02:59:26.562 * MASTER <-> REPLICA sync: receiving streamed RDB from master with EOF to disk
r3 r3-1  | 2026-09-24T02:59:26.562822347Z 1:S 24 Sep 2026 02:59:26.562 * MASTER <-> REPLICA sync: Loading DB in memory
r3 r3-1  | 2026-09-24T02:59:26.564569472Z 1:S 24 Sep 2026 02:59:26.564 * MASTER <-> REPLICA sync: Flushing old data
r3 r3-1  | 2026-09-24T02:59:26.565137805Z 1:S 24 Sep 2026 02:59:26.565 * MASTER <-> REPLICA sync: Finished with success
r3 r3-1  | 2026-09-24T02:59:26.565139014Z 1:S 24 Sep 2026 02:59:26.565 * MASTER <-> REPLICA sync: Starting to stream replication buffer into the db (134 bytes).
r3 r3-1  | 2026-09-24T02:59:26.565140097Z 1:S 24 Sep 2026 02:59:26.565 * MASTER <-> REPLICA sync: Successfully streamed replication buffer into the db (134 bytes in total)
r3 r3-1  | 2026-09-24T02:59:46.593634051Z 1:M 24 Sep 2026 02:59:46.593 * Connection with master lost.
r3 r3-1  | 2026-09-24T02:59:46.594120009Z 1:S 24 Sep 2026 02:59:46.593 * MASTER <-> REPLICA sync started
r3 r3-1  | 2026-09-24T02:59:46.594483092Z 1:S 24 Sep 2026 02:59:46.594 * MASTER <-> REPLICA sync: Master accepted a Partial Resynchronization.
s1 s1-1  | 2026-09-24T02:59:45.289573425Z 1:X 24 Sep 2026 02:59:45.282 # +sdown master m r1-data 6379
s1 s1-1  | 2026-09-24T02:59:46.419813509Z 1:X 24 Sep 2026 02:59:46.418 # +odown master m r1-data 6379 #quorum 3/2
s1 s1-1  | 2026-09-24T02:59:46.419890217Z 1:X 24 Sep 2026 02:59:46.418 * Next failover delay: I will not start a failover before Thu Sep 24 03:00:05 2026
s1 s1-1  | 2026-09-24T02:59:46.594055884Z 1:X 24 Sep 2026 02:59:46.594 # +switch-master m r1-data 6379 r2-data 6379
s1 s1-1  | 2026-09-24T02:59:49.602036302Z 1:X 24 Sep 2026 02:59:49.601 # +sdown slave r1-data:6379 r1-data 6379 @ m r2-data 6379
s1 s1-1  | 2026-09-24T02:59:49.853719677Z 1:X 24 Sep 2026 02:59:49.853 # -sdown slave r1-data:6379 r1-data 6379 @ m r2-data 6379
s2 s2-1  | 2026-09-24T02:59:45.483626800Z 1:X 24 Sep 2026 02:59:45.483 # +sdown master m r1-data 6379
s2 s2-1  | 2026-09-24T02:59:45.575122175Z 1:X 24 Sep 2026 02:59:45.574 # +odown master m r1-data 6379 #quorum 3/2
s2 s2-1  | 2026-09-24T02:59:45.575137050Z 1:X 24 Sep 2026 02:59:45.575 * Next failover delay: I will not start a failover before Thu Sep 24 03:00:06 2026
s2 s2-1  | 2026-09-24T02:59:46.594018217Z 1:X 24 Sep 2026 02:59:46.593 # +switch-master m r1-data 6379 r2-data 6379
s2 s2-1  | 2026-09-24T02:59:49.622117802Z 1:X 24 Sep 2026 02:59:49.621 # +sdown slave r1-data:6379 r1-data 6379 @ m r2-data 6379
s2 s2-1  | 2026-09-24T02:59:49.781855219Z 1:X 24 Sep 2026 02:59:49.781 # -sdown slave r1-data:6379 r1-data 6379 @ m r2-data 6379
s2 s2-1  | 2026-09-24T02:59:59.782988293Z 1:X 24 Sep 2026 02:59:59.782 * +convert-to-slave slave r1-data:6379 r1-data 6379 @ m r2-data 6379
s3 s3-1  | 2026-09-24T02:59:45.392912217Z 1:X 24 Sep 2026 02:59:45.392 # +sdown master m r1-data 6379
s3 s3-1  | 2026-09-24T02:59:45.448759383Z 1:X 24 Sep 2026 02:59:45.448 # +odown master m r1-data 6379 #quorum 2/2
s3 s3-1  | 2026-09-24T02:59:45.448772425Z 1:X 24 Sep 2026 02:59:45.448 # +try-failover master m r1-data 6379
s3 s3-1  | 2026-09-24T02:59:45.511377967Z 1:X 24 Sep 2026 02:59:45.511 # +elected-leader master m r1-data 6379
s3 s3-1  | 2026-09-24T02:59:45.511412008Z 1:X 24 Sep 2026 02:59:45.511 # +failover-state-select-slave master m r1-data 6379
s3 s3-1  | 2026-09-24T02:59:45.564561800Z 1:X 24 Sep 2026 02:59:45.564 # +selected-slave slave r2-data:6379 r2-data 6379 @ m r1-data 6379
s3 s3-1  | 2026-09-24T02:59:45.564589675Z 1:X 24 Sep 2026 02:59:45.564 * +failover-state-send-slaveof-noone slave r2-data:6379 r2-data 6379 @ m r1-data 6379
s3 s3-1  | 2026-09-24T02:59:45.632172883Z 1:X 24 Sep 2026 02:59:45.631 * +failover-state-wait-promotion slave r2-data:6379 r2-data 6379 @ m r1-data 6379
s3 s3-1  | 2026-09-24T02:59:46.525452384Z 1:X 24 Sep 2026 02:59:46.525 # +promoted-slave slave r2-data:6379 r2-data 6379 @ m r1-data 6379
s3 s3-1  | 2026-09-24T02:59:46.525456551Z 1:X 24 Sep 2026 02:59:46.525 # +failover-state-reconf-slaves master m r1-data 6379
s3 s3-1  | 2026-09-24T02:59:47.613261676Z 1:X 24 Sep 2026 02:59:47.613 # -odown master m r1-data 6379
s3 s3-1  | 2026-09-24T02:59:47.613277634Z 1:X 24 Sep 2026 02:59:47.613 # +failover-end master m r1-data 6379
s3 s3-1  | 2026-09-24T02:59:47.613279134Z 1:X 24 Sep 2026 02:59:47.613 # +switch-master m r1-data 6379 r2-data 6379
