r3 r3-1  | 2026-09-24T02:58:45.211156092Z 1:S 24 Sep 2026 02:58:45.210 * <search> Cluster configuration: AUTO partitions, type: 0, coordinator timeout: 0ms
r3 r3-1  | 2026-09-24T02:58:46.237913259Z 1:S 24 Sep 2026 02:58:46.237 * MASTER <-> REPLICA sync started
r3 r3-1  | 2026-09-24T02:58:46.238200425Z 1:S 24 Sep 2026 02:58:46.238 * Partial resynchronization not possible (no cached master)
r3 r3-1  | 2026-09-24T02:58:46.238311925Z 1:S 24 Sep 2026 02:58:46.238 * PSYNC is not possible, initialize RDB channel.
r3 r3-1  | 2026-09-24T02:58:46.239894134Z 1:S 24 Sep 2026 02:58:46.239 * MASTER <-> REPLICA sync: receiving streamed RDB from master with EOF to disk
r3 r3-1  | 2026-09-24T02:58:46.239920384Z 1:S 24 Sep 2026 02:58:46.239 * MASTER <-> REPLICA sync: Loading DB in memory
r3 r3-1  | 2026-09-24T02:58:46.241630509Z 1:S 24 Sep 2026 02:58:46.241 * MASTER <-> REPLICA sync: Flushing old data
r3 r3-1  | 2026-09-24T02:58:46.242120634Z 1:S 24 Sep 2026 02:58:46.242 * MASTER <-> REPLICA sync: Finished with success
r3 r3-1  | 2026-09-24T02:58:46.242230259Z 1:S 24 Sep 2026 02:58:46.242 * MASTER <-> REPLICA sync: Starting to stream replication buffer into the db (0 bytes).
r3 r3-1  | 2026-09-24T02:58:46.242237967Z 1:S 24 Sep 2026 02:58:46.242 * MASTER <-> REPLICA sync: Successfully streamed replication buffer into the db (0 bytes in total)
r3 r3-1  | 2026-09-24T02:59:05.394768545Z 1:M 24 Sep 2026 02:59:05.394 * Connection with master lost.
r3 r3-1  | 2026-09-24T02:59:06.345349296Z 1:M 24 Sep 2026 02:59:06.345 * Partial resynchronization request from r2-data:6379 accepted. Sending 511 bytes of backlog starting from offset 280087.
r3 r3-1  | 2026-09-24T02:59:19.455445594Z 1:M 24 Sep 2026 02:59:19.455 * Partial resynchronization not accepted: Requested offset for second ID was 305277, but I can reply up to 280087
r3 r3-1  | 2026-09-24T02:59:19.455447135Z 1:M 24 Sep 2026 02:59:19.455 * Replica r1-data:6379 is capable of rdb channel synchronization, and partial sync isn't possible. Full sync will continue with dedicated rdb channel.
r3 r3-1  | 2026-09-24T02:59:19.455869927Z 1:M 24 Sep 2026 02:59:19.455 * Full resync requested by replica r1-data:6379 (rdb-channel)
r3 r3-1  | 2026-09-24T02:59:19.461915260Z 1:M 24 Sep 2026 02:59:19.461 * Connection with replica (rdbchannel) r1-data:6379 lost.
s1 s1-1  | 2026-09-24T02:59:05.139440587Z 1:X 24 Sep 2026 02:59:05.139 # +sdown master m r1-data 6379
s1 s1-1  | 2026-09-24T02:59:06.223283462Z 1:X 24 Sep 2026 02:59:06.223 # +odown master m r1-data 6379 #quorum 3/2
s1 s1-1  | 2026-09-24T02:59:06.223293962Z 1:X 24 Sep 2026 02:59:06.223 * Next failover delay: I will not start a failover before Thu Sep 24 02:59:26 2026
s1 s1-1  | 2026-09-24T02:59:06.344635587Z 1:X 24 Sep 2026 02:59:06.344 # +switch-master m r1-data 6379 r3-data 6379
