t0	fault_injected	1790218700793
t1	last_client_ack_on_old_primary	1790218706020
t2	sdown	1790218704744
t3	odown	1790218704809
t4	switch_master	1790218707009	r3
t5	first_write_on_new_primary	1790218706026
t6	verification	acked=5295 lost_acked=1028 unconfirmed=0 errors=0 present_but_not_acked=0
