r3 r3-1  | 2026-09-24T02:57:37.656846338Z 1:S 24 Sep 2026 02:57:37.656 * <search> gc: ON, prefix min length: 2, min word length to stem: 4, prefix max expansions: 200, query timeout (ms): 500, timeout policy: return, oom policy: return, cursor read size: 1000, cursor max idle (ms): 300000, max doctable size: 1000000, max number of search results:  1000000, default scorer: BM25STD, 
r3 r3-1  | 2026-09-24T02:57:37.657108380Z 1:S 24 Sep 2026 02:57:37.657 * <search> Cluster configuration: AUTO partitions, type: 0, coordinator timeout: 0ms
r3 r3-1  | 2026-09-24T02:57:37.658889005Z 1:S 24 Sep 2026 02:57:37.658 * MASTER <-> REPLICA sync started
r3 r3-1  | 2026-09-24T02:57:37.659238338Z 1:S 24 Sep 2026 02:57:37.659 * Partial resynchronization not possible (no cached master)
r3 r3-1  | 2026-09-24T02:57:37.659241630Z 1:S 24 Sep 2026 02:57:37.659 * PSYNC is not possible, initialize RDB channel.
r3 r3-1  | 2026-09-24T02:57:37.660061713Z 1:S 24 Sep 2026 02:57:37.660 * MASTER <-> REPLICA sync: receiving streamed RDB from master with EOF to disk
r3 r3-1  | 2026-09-24T02:57:37.660121130Z 1:S 24 Sep 2026 02:57:37.660 * MASTER <-> REPLICA sync: Loading DB in memory
r3 r3-1  | 2026-09-24T02:57:37.661256088Z 1:S 24 Sep 2026 02:57:37.661 * MASTER <-> REPLICA sync: Flushing old data
r3 r3-1  | 2026-09-24T02:57:37.661785505Z 1:S 24 Sep 2026 02:57:37.661 * MASTER <-> REPLICA sync: Finished with success
r3 r3-1  | 2026-09-24T02:57:37.661835755Z 1:S 24 Sep 2026 02:57:37.661 * MASTER <-> REPLICA sync: Starting to stream replication buffer into the db (0 bytes).
r3 r3-1  | 2026-09-24T02:57:37.661912213Z 1:S 24 Sep 2026 02:57:37.661 * MASTER <-> REPLICA sync: Successfully streamed replication buffer into the db (0 bytes in total)
r3 r3-1  | 2026-09-24T02:57:44.775804341Z 1:S 24 Sep 2026 02:57:44.775 * Connection with master lost.
r3 r3-1  | 2026-09-24T02:57:44.776009216Z 1:S 24 Sep 2026 02:57:44.775 * MASTER <-> REPLICA sync started
r3 r3-1  | 2026-09-24T02:57:49.059596802Z 1:M 24 Sep 2026 02:57:49.059 * Partial resynchronization request from r2-data:6379 accepted. Sending 145 bytes of backlog starting from offset 145871.
r3 r3-1  | 2026-09-24T02:58:00.223018459Z 1:M 24 Sep 2026 02:58:00.222 * Partial resynchronization not accepted: Replication ID mismatch (Replica asked for '6e3dcf734ff414dcc25a45c1762fae1929cda7f7', my replication IDs are '5db516760bdd465892c82e9140b1735fa7558c72' and 'e37ca02c642bfb8ab3b2b658a53f8cf5ff66fd95')
r3 r3-1  | 2026-09-24T02:58:00.223020001Z 1:M 24 Sep 2026 02:58:00.222 * Replica r1-data:6379 is capable of rdb channel synchronization, and partial sync isn't possible. Full sync will continue with dedicated rdb channel.
r3 r3-1  | 2026-09-24T02:58:00.223639334Z 1:M 24 Sep 2026 02:58:00.223 * Full resync requested by replica r1-data:6379 (rdb-channel)
r3 r3-1  | 2026-09-24T02:58:00.229767543Z 1:M 24 Sep 2026 02:58:00.229 * Connection with replica (rdbchannel) r1-data:6379 lost.
s1 s1-1  | 2026-09-24T02:57:47.828806093Z 1:X 24 Sep 2026 02:57:47.828 # +sdown master m r1-data 6379
s1 s1-1  | 2026-09-24T02:57:47.901399635Z 1:X 24 Sep 2026 02:57:47.901 # +odown master m r1-data 6379 #quorum 2/2
s1 s1-1  | 2026-09-24T02:57:47.901409635Z 1:X 24 Sep 2026 02:57:47.901 # +try-failover master m r1-data 6379
s1 s1-1  | 2026-09-24T02:57:47.979494218Z 1:X 24 Sep 2026 02:57:47.979 # +elected-leader master m r1-data 6379
s1 s1-1  | 2026-09-24T02:57:47.979533385Z 1:X 24 Sep 2026 02:57:47.979 # +failover-state-select-slave master m r1-data 6379
s1 s1-1  | 2026-09-24T02:57:48.038045343Z 1:X 24 Sep 2026 02:57:48.037 # +selected-slave slave r3-data:6379 r3-data 6379 @ m r1-data 6379
s1 s1-1  | 2026-09-24T02:57:48.038060510Z 1:X 24 Sep 2026 02:57:48.037 * +failover-state-send-slaveof-noone slave r3-data:6379 r3-data 6379 @ m r1-data 6379
s1 s1-1  | 2026-09-24T02:57:48.118964385Z 1:X 24 Sep 2026 02:57:48.118 * +failover-state-wait-promotion slave r3-data:6379 r3-data 6379 @ m r1-data 6379
s1 s1-1  | 2026-09-24T02:57:48.981976093Z 1:X 24 Sep 2026 02:57:48.981 # +promoted-slave slave r3-data:6379 r3-data 6379 @ m r1-data 6379
s1 s1-1  | 2026-09-24T02:57:48.981978510Z 1:X 24 Sep 2026 02:57:48.981 # +failover-state-reconf-slaves master m r1-data 6379
s1 s1-1  | 2026-09-24T02:57:50.045121886Z 1:X 24 Sep 2026 02:57:50.045 # -odown master m r1-data 6379
