event	utc	mono_ms	target	seq	request_id	detail
client_ack	2026-09-23T18:14:27.415045093Z	5326	source	223	semisync-applier-paused-223	
client_ack	2026-09-23T18:14:27.437433051Z	5348	source	224	semisync-applier-paused-224	
client_ack	2026-09-23T18:14:27.460428635Z	5371	source	225	semisync-applier-paused-225	
client_ack	2026-09-23T18:14:27.483039260Z	5394	source	226	semisync-applier-paused-226	
client_ack	2026-09-23T18:14:27.506085135Z	5417	source	227	semisync-applier-paused-227	
client_ack	2026-09-23T18:14:27.528587968Z	5439	source	228	semisync-applier-paused-228	
client_ack	2026-09-23T18:14:27.551941635Z	5463	source	229	semisync-applier-paused-229	
client_ack	2026-09-23T18:14:27.575576343Z	5486	source	230	semisync-applier-paused-230	
client_ack	2026-09-23T18:14:27.597782718Z	5509	source	231	semisync-applier-paused-231	
client_ack	2026-09-23T18:14:27.621705468Z	5532	source	232	semisync-applier-paused-232	
client_ack	2026-09-23T18:14:27.645285551Z	5556	source	233	semisync-applier-paused-233	
client_ack	2026-09-23T18:14:27.668198135Z	5579	source	234	semisync-applier-paused-234	
client_ack	2026-09-23T18:14:27.691206051Z	5602	source	235	semisync-applier-paused-235	
client_ack	2026-09-23T18:14:27.714061051Z	5625	source	236	semisync-applier-paused-236	
client_ack	2026-09-23T18:14:27.737005426Z	5648	source	237	semisync-applier-paused-237	
client_ack	2026-09-23T18:14:27.759974051Z	5671	source	238	semisync-applier-paused-238	
client_ack	2026-09-23T18:14:27.783143468Z	5694	source	239	semisync-applier-paused-239	
client_ack	2026-09-23T18:14:27.806591968Z	5717	source	240	semisync-applier-paused-240	
client_ack	2026-09-23T18:14:27.831016301Z	5742	source	241	semisync-applier-paused-241	
client_ack	2026-09-23T18:14:27.855380176Z	5766	source	242	semisync-applier-paused-242	
client_ack	2026-09-23T18:14:27.878752968Z	5790	source	243	semisync-applier-paused-243	
client_ack	2026-09-23T18:14:27.901660676Z	5812	source	244	semisync-applier-paused-244	
client_ack	2026-09-23T18:14:27.925648135Z	5836	source	245	semisync-applier-paused-245	
client_ack	2026-09-23T18:14:27.956140801Z	5867	source	246	semisync-applier-paused-246	
client_ack	2026-09-23T18:14:27.979108885Z	5890	source	247	semisync-applier-paused-247	
client_ack	2026-09-23T18:14:28.001547426Z	5912	source	248	semisync-applier-paused-248	
client_ack	2026-09-23T18:14:28.024543510Z	5935	source	249	semisync-applier-paused-249	
client_ack	2026-09-23T18:14:28.047573926Z	5958	source	250	semisync-applier-paused-250	
client_ack	2026-09-23T18:14:28.070123468Z	5981	source	251	semisync-applier-paused-251	
client_ack	2026-09-23T18:14:28.093737551Z	6005	source	252	semisync-applier-paused-252	
client_ack	2026-09-23T18:14:28.118132302Z	6029	source	253	semisync-applier-paused-253	
client_ack	2026-09-23T18:14:28.142442260Z	6053	source	254	semisync-applier-paused-254	
client_ack	2026-09-23T18:14:28.166550093Z	6077	source	255	semisync-applier-paused-255	
client_ack	2026-09-23T18:14:28.191993093Z	6103	source	256	semisync-applier-paused-256	
client_ack	2026-09-23T18:14:28.216058135Z	6127	source	257	semisync-applier-paused-257	
client_ack	2026-09-23T18:14:28.238981802Z	6150	source	258	semisync-applier-paused-258	
client_ack	2026-09-23T18:14:28.262320093Z	6173	source	259	semisync-applier-paused-259	
client_ack	2026-09-23T18:14:28.285314093Z	6196	source	260	semisync-applier-paused-260	
client_ack	2026-09-23T18:14:28.308722593Z	6220	source	261	semisync-applier-paused-261	
client_ack	2026-09-23T18:14:28.332306302Z	6243	source	262	semisync-applier-paused-262	
client_ack	2026-09-23T18:14:28.355325135Z	6266	source	263	semisync-applier-paused-263	
client_ack	2026-09-23T18:14:28.378672093Z	6289	source	264	semisync-applier-paused-264	
client_ack	2026-09-23T18:14:28.402420260Z	6313	source	265	semisync-applier-paused-265	
client_ack	2026-09-23T18:14:28.425717343Z	6337	source	266	semisync-applier-paused-266	
client_ack	2026-09-23T18:14:28.449086218Z	6360	source	267	semisync-applier-paused-267	
client_ack	2026-09-23T18:14:28.472986677Z	6384	source	268	semisync-applier-paused-268	
client_ack	2026-09-23T18:14:28.496148468Z	6407	source	269	semisync-applier-paused-269	
client_ack	2026-09-23T18:14:28.519429260Z	6430	source	270	semisync-applier-paused-270	
client_ack	2026-09-23T18:14:28.542487885Z	6453	source	271	semisync-applier-paused-271	
client_ack	2026-09-23T18:14:28.565511843Z	6476	source	272	semisync-applier-paused-272	
client_ack	2026-09-23T18:14:28.589098010Z	6500	source	273	semisync-applier-paused-273	
client_ack	2026-09-23T18:14:28.614388052Z	6525	source	274	semisync-applier-paused-274	
client_ack	2026-09-23T18:14:28.642114343Z	6553	source	275	semisync-applier-paused-275	
client_ack	2026-09-23T18:14:28.670168052Z	6581	source	276	semisync-applier-paused-276	
client_ack	2026-09-23T18:14:28.695858802Z	6607	source	277	semisync-applier-paused-277	
client_ack	2026-09-23T18:14:28.720370760Z	6631	source	278	semisync-applier-paused-278	
client_ack	2026-09-23T18:14:28.747646052Z	6658	source	279	semisync-applier-paused-279	
client_ack	2026-09-23T18:14:28.774909218Z	6686	source	280	semisync-applier-paused-280	
client_ack	2026-09-23T18:14:28.805283385Z	6716	source	281	semisync-applier-paused-281	
client_ack	2026-09-23T18:14:28.832772427Z	6744	source	282	semisync-applier-paused-282	
client_ack	2026-09-23T18:14:28.858676219Z	6769	source	283	semisync-applier-paused-283	
client_ack	2026-09-23T18:14:28.883847260Z	6795	source	284	semisync-applier-paused-284	
client_ack	2026-09-23T18:14:28.908854344Z	6820	source	285	semisync-applier-paused-285	
client_ack	2026-09-23T18:14:28.936953344Z	6848	source	286	semisync-applier-paused-286	
client_ack	2026-09-23T18:14:28.961607177Z	6872	source	287	semisync-applier-paused-287	
client_ack	2026-09-23T18:14:28.984029969Z	6895	source	288	semisync-applier-paused-288	
client_ack	2026-09-23T18:14:29.006558260Z	6917	source	289	semisync-applier-paused-289	
client_ack	2026-09-23T18:14:29.029364344Z	6940	source	290	semisync-applier-paused-290	
client_ack	2026-09-23T18:14:29.052525635Z	6963	source	291	semisync-applier-paused-291	
write_failed	2026-09-23T18:14:29.101630427Z	7012	source	292	semisync-applier-paused-292	CommunicationsException
retry_inserted	2026-09-23T18:14:38.995753251Z	16907	replica1	292	semisync-applier-paused-292	
first_write_after_failover	2026-09-23T18:14:39.018457584Z	16930	replica1	293	semisync-applier-paused-293	
client_ack	2026-09-23T18:14:39.040938667Z	16953	replica1	294	semisync-applier-paused-294	
client_ack	2026-09-23T18:14:39.062676542Z	16974	replica1	295	semisync-applier-paused-295	
client_ack	2026-09-23T18:14:39.084511084Z	16996	replica1	296	semisync-applier-paused-296	
client_ack	2026-09-23T18:14:39.106677959Z	17018	replica1	297	semisync-applier-paused-297	
client_ack	2026-09-23T18:14:39.129393417Z	17041	replica1	298	semisync-applier-paused-298	
client_ack	2026-09-23T18:14:39.152167251Z	17064	replica1	299	semisync-applier-paused-299	
client_ack	2026-09-23T18:14:39.175601751Z	17087	replica1	300	semisync-applier-paused-300	
client_ack	2026-09-23T18:14:39.198806584Z	17110	replica1	301	semisync-applier-paused-301	
client_ack	2026-09-23T18:14:39.221394292Z	17133	replica1	302	semisync-applier-paused-302	
client_ack	2026-09-23T18:14:39.244872876Z	17157	replica1	303	semisync-applier-paused-303	
client_ack	2026-09-23T18:14:39.267482959Z	17179	replica1	304	semisync-applier-paused-304	
client_ack	2026-09-23T18:14:39.290268834Z	17202	replica1	305	semisync-applier-paused-305	
client_ack	2026-09-23T18:14:39.312756334Z	17224	replica1	306	semisync-applier-paused-306	
client_ack	2026-09-23T18:14:39.336042751Z	17248	replica1	307	semisync-applier-paused-307	
client_ack	2026-09-23T18:14:39.360418168Z	17272	replica1	308	semisync-applier-paused-308	
client_ack	2026-09-23T18:14:39.382538084Z	17294	replica1	309	semisync-applier-paused-309	
client_ack	2026-09-23T18:14:39.404205209Z	17316	replica1	310	semisync-applier-paused-310	
client_ack	2026-09-23T18:14:39.425752001Z	17337	replica1	311	semisync-applier-paused-311	
client_ack	2026-09-23T18:14:39.447419626Z	17359	replica1	312	semisync-applier-paused-312	
client_ack	2026-09-23T18:14:39.469309418Z	17381	replica1	313	semisync-applier-paused-313	
client_ack	2026-09-23T18:14:39.491883209Z	17404	replica1	314	semisync-applier-paused-314	
client_ack	2026-09-23T18:14:39.514217001Z	17426	replica1	315	semisync-applier-paused-315	
client_ack	2026-09-23T18:14:39.535919001Z	17448	replica1	316	semisync-applier-paused-316	
client_ack	2026-09-23T18:14:39.558173334Z	17470	replica1	317	semisync-applier-paused-317	
client_ack	2026-09-23T18:14:39.579888626Z	17492	replica1	318	semisync-applier-paused-318	
client_ack	2026-09-23T18:14:39.601864501Z	17514	replica1	319	semisync-applier-paused-319	
client_ack	2026-09-23T18:14:39.623941668Z	17536	replica1	320	semisync-applier-paused-320	
client_ack	2026-09-23T18:14:39.646456126Z	17558	replica1	321	semisync-applier-paused-321	
client_ack	2026-09-23T18:14:39.668262793Z	17580	replica1	322	semisync-applier-paused-322	
client_ack	2026-09-23T18:14:39.690364084Z	17602	replica1	323	semisync-applier-paused-323	
client_ack	2026-09-23T18:14:39.712020626Z	17624	replica1	324	semisync-applier-paused-324	
client_ack	2026-09-23T18:14:39.734191001Z	17646	replica1	325	semisync-applier-paused-325	
client_ack	2026-09-23T18:14:39.756130668Z	17668	replica1	326	semisync-applier-paused-326	
client_ack	2026-09-23T18:14:39.777935001Z	17690	replica1	327	semisync-applier-paused-327	
client_ack	2026-09-23T18:14:39.799882959Z	17712	replica1	328	semisync-applier-paused-328	
client_ack	2026-09-23T18:14:39.822472876Z	17734	replica1	329	semisync-applier-paused-329	
