group,variant,access_keys,handler_reads,median_ms,min_ms,max_ms,samples,buffer_pool_requests,physical_reads,result_rows,result_sha1
after,01-force-index,idx_state_event_deleted,24543,27.5,27.2,27.8,7,98232,0,100,018db53b361c
after,02-prefer-ordering-index-off,idx_state_event_deleted,24543,27.5,26.9,27.7,7,98261,0,100,018db53b361c
after,03-order-by-expression,idx_state_event_deleted,24543,27.7,27.2,28.0,7,98232,0,100,018db53b361c
after,04-union-all,idx_state_event_deleted,401,0.448,0.426,0.452,7,1226,0,100,018db53b361c
before,00-original,PRIMARY,2850622,569.0,564.0,585.0,7,49171,0,100,018db53b361c
control,10-control-processed-at-head,PRIMARY,205,0.077,0.075,0.087,7,52,0,100,fbfe7e9e4897
control,11-control-single-value,idx_state_event_deleted,100,0.16,0.156,0.17,7,615,0,100,df3273dce9ff
